ID,Customer ID,MaritalStatus,YearlyIncome,TotalChildren,EnglishEducation,HouseOwnerFlag
81,11080,M,170000,0,Graduate Degree,TRUE
82,11081,M,120000,2,Bachelors,TRUE
83,11082,S,130000,0,Graduate Degree,FALSE
84,11083,M,130000,0,Graduate Degree,TRUE
85,11084,S,80000,2,Partial High School,FALSE
86,11085,S,60000,2,High School,FALSE
87,11086,M,70000,2,Partial College,TRUE
88,11087,M,70000,3,Partial College,FALSE
89,11088,M,80000,2,Bachelors,TRUE
90,11089,S,80000,2,Bachelors,TRUE
91,11090,S,90000,2,Partial College,TRUE
92,11091,M,90000,2,Partial College,TRUE
93,11092,M,90000,2,Bachelors,TRUE
94,11093,M,100000,0,Graduate Degree,TRUE
95,11094,S,70000,1,Partial College,FALSE
96,11095,S,70000,1,Partial College,TRUE
97,11096,M,60000,1,Bachelors,TRUE
98,11097,M,60000,1,Partial College,TRUE
99,11098,S,60000,1,Partial College,FALSE
100,11099,M,60000,1,Bachelors,TRUE
101,11100,S,60000,1,Partial College,TRUE
102,11101,S,70000,0,Bachelors,FALSE
103,11102,S,80000,5,Bachelors,TRUE
104,11103,S,70000,0,Bachelors,TRUE
105,11104,M,70000,0,Bachelors,FALSE
106,11105,S,70000,0,Bachelors,FALSE
107,11106,S,70000,0,Bachelors,FALSE
108,11107,M,90000,1,Bachelors,TRUE
109,11108,S,70000,0,Bachelors,FALSE
110,11109,S,70000,0,Bachelors,FALSE
111,11110,M,60000,1,Partial College,TRUE
112,11111,M,60000,1,Partial College,TRUE
113,11112,M,60000,1,Partial College,TRUE
114,11113,M,70000,5,Bachelors,TRUE
115,11114,S,70000,5,Partial College,TRUE
116,11115,M,70000,5,Partial College,TRUE
117,11116,M,70000,5,Partial College,TRUE
118,11117,M,70000,5,Partial College,TRUE
119,11118,S,80000,1,Partial College,FALSE
120,11119,S,30000,2,Partial College,FALSE
121,11120,S,40000,2,Bachelors,TRUE
122,11121,M,70000,5,Partial College,TRUE
123,11122,M,70000,5,Partial College,TRUE
124,11123,M,70000,5,Partial College,TRUE
125,11124,S,80000,1,Partial College,TRUE
126,11125,S,70000,1,Partial College,TRUE
127,11126,M,10000,2,High School,FALSE
128,11127,M,40000,0,High School,TRUE
129,11128,M,40000,0,High School,TRUE
130,11129,S,40000,0,High School,TRUE
131,11130,M,30000,0,High School,TRUE
132,11131,M,30000,0,High School,FALSE
133,11132,S,30000,0,High School,FALSE
134,11133,S,30000,0,Partial High School,FALSE
135,11134,S,10000,5,High School,TRUE
136,11135,S,30000,0,Partial High School,FALSE
137,11136,S,40000,0,High School,FALSE
138,11137,M,40000,0,High School,TRUE
139,11138,M,40000,0,High School,FALSE
140,11139,S,30000,2,Partial College,FALSE
141,11140,S,30000,0,Partial High School,FALSE
142,11141,M,40000,0,High School,FALSE
143,11142,S,40000,0,High School,FALSE
144,11143,M,40000,0,High School,TRUE
145,11144,S,40000,0,High School,FALSE
146,11145,S,40000,0,High School,FALSE
147,11146,S,40000,2,Bachelors,TRUE
148,11147,M,60000,2,Graduate Degree,TRUE
149,11148,M,40000,2,Bachelors,TRUE
150,11149,M,40000,2,Bachelors,TRUE
151,11150,S,40000,2,Bachelors,TRUE
152,11151,S,60000,2,Graduate Degree,FALSE
153,11152,S,40000,0,High School,TRUE
154,11153,M,40000,0,High School,TRUE
155,11154,S,40000,0,Partial College,TRUE
156,11155,S,40000,0,Partial College,FALSE
157,11156,S,40000,0,Partial College,FALSE
158,11157,M,40000,0,High School,TRUE
159,11158,S,40000,0,High School,TRUE
160,11159,S,40000,0,High School,FALSE
161,11160,S,40000,0,Partial College,FALSE
162,11161,S,40000,0,Partial College,FALSE
163,11162,S,40000,0,Partial College,TRUE
164,11163,M,40000,0,Partial College,TRUE
165,11164,S,40000,0,Partial College,FALSE
166,11165,M,60000,0,Partial College,FALSE
167,11166,S,70000,0,Partial College,FALSE
168,11167,S,80000,0,Bachelors,FALSE
169,11168,S,80000,0,Bachelors,FALSE
170,11169,M,90000,4,Bachelors,TRUE
171,11170,M,90000,4,Bachelors,TRUE
172,11171,S,100000,1,Bachelors,TRUE
173,11172,M,100000,1,Bachelors,TRUE
174,11173,S,110000,0,Graduate Degree,FALSE
175,11174,M,110000,0,Graduate Degree,TRUE
176,11175,S,70000,0,Partial College,TRUE
177,11176,M,90000,4,Bachelors,TRUE
178,11177,M,110000,2,Graduate Degree,TRUE
179,11178,M,100000,2,Graduate Degree,TRUE
180,11179,M,120000,2,Graduate Degree,TRUE
181,11180,M,160000,1,Bachelors,TRUE
182,11181,M,170000,2,Graduate Degree,TRUE
183,11182,S,70000,4,Bachelors,TRUE
184,11183,S,70000,4,Bachelors,TRUE
185,11184,S,70000,4,Bachelors,TRUE
186,11185,S,70000,4,Bachelors,TRUE
187,11186,S,70000,4,Bachelors,TRUE
188,11187,M,60000,4,Graduate Degree,TRUE
189,11188,M,60000,4,Graduate Degree,FALSE
190,11189,S,60000,4,Graduate Degree,TRUE
191,11190,M,70000,5,Bachelors,TRUE
192,11191,S,70000,5,Bachelors,TRUE
193,11192,M,60000,4,Bachelors,TRUE
194,11193,M,60000,4,Bachelors,TRUE
195,11194,M,60000,4,Bachelors,TRUE
196,11195,M,60000,5,Bachelors,TRUE
197,11196,M,60000,5,Bachelors,TRUE
198,11197,M,70000,3,Bachelors,FALSE
199,11198,S,70000,4,Bachelors,TRUE
200,11199,M,70000,4,Bachelors,TRUE
201,11200,M,70000,4,Bachelors,TRUE
202,11201,M,70000,4,Bachelors,TRUE
203,11202,M,80000,5,Bachelors,FALSE
204,11203,M,40000,2,High School,TRUE
205,11204,M,40000,2,High School,TRUE
206,11205,M,40000,2,High School,TRUE
207,11206,M,60000,2,Partial College,TRUE
208,11207,S,60000,2,Partial College,TRUE
209,11208,M,60000,2,Bachelors,TRUE
210,11209,M,60000,2,Bachelors,TRUE
211,11210,M,70000,4,Partial College,TRUE
212,11211,M,40000,2,High School,TRUE
213,11212,M,40000,2,High School,TRUE
214,11213,S,60000,2,Partial College,TRUE
215,11214,S,60000,2,Partial College,TRUE
216,11215,M,40000,2,Partial High School,TRUE
217,11216,S,60000,2,Partial College,TRUE
218,11217,S,60000,2,Partial College,TRUE
219,11218,S,60000,2,Partial College,FALSE
220,11219,M,60000,2,High School,TRUE
221,11220,M,60000,2,Partial College,TRUE
222,11221,M,70000,4,Partial College,TRUE
223,11222,M,80000,3,Bachelors,TRUE
224,11223,S,70000,2,High School,TRUE
225,11224,S,70000,2,High School,TRUE
226,11225,M,60000,2,Partial College,TRUE
227,11226,M,60000,2,Partial College,TRUE
228,11227,S,60000,2,Partial College,TRUE
229,11228,M,60000,2,Partial College,TRUE
230,11229,S,70000,4,Partial College,TRUE
231,11230,M,70000,4,Partial College,FALSE
232,11231,M,60000,2,High School,TRUE
233,11232,M,60000,3,High School,FALSE
234,11233,M,70000,4,Partial College,TRUE
235,11234,S,70000,4,Partial College,TRUE
236,11235,M,70000,4,Partial College,TRUE
237,11236,S,70000,5,Partial College,TRUE
238,11237,S,130000,2,Bachelors,FALSE
239,11238,S,130000,2,Bachelors,FALSE
240,11239,M,130000,2,Partial College,FALSE
241,11240,M,160000,2,Partial College,TRUE
242,11241,S,100000,2,Partial College,TRUE
243,11242,M,110000,2,Partial College,TRUE
244,11243,M,150000,2,Partial College,TRUE
245,11244,S,170000,2,Bachelors,FALSE
246,11245,M,120000,3,High School,FALSE
247,11246,M,120000,3,High School,FALSE
248,11247,S,130000,3,Partial College,FALSE
249,11248,M,110000,3,Partial College,TRUE
250,11249,M,130000,3,Partial College,TRUE
251,11250,M,170000,3,High School,TRUE
252,11251,S,30000,4,High School,FALSE
253,11252,S,90000,3,Graduate Degree,TRUE
254,11253,M,60000,2,Graduate Degree,TRUE
255,11254,M,70000,4,Graduate Degree,TRUE
256,11255,M,70000,4,Graduate Degree,TRUE
257,11256,M,70000,4,Graduate Degree,TRUE
258,11257,S,120000,1,Graduate Degree,TRUE
259,11258,M,120000,1,Graduate Degree,TRUE
260,11259,M,100000,4,Partial College,TRUE
261,11260,M,110000,2,Bachelors,TRUE
262,11261,M,130000,1,Graduate Degree,TRUE
263,11262,M,80000,4,Bachelors,TRUE
264,11263,M,90000,5,Partial College,TRUE
265,11264,S,90000,5,Partial College,FALSE
266,11265,M,90000,5,Partial College,TRUE
267,11266,S,90000,0,Partial College,FALSE
268,11267,S,120000,4,Partial College,TRUE
269,11268,M,130000,2,Graduate Degree,TRUE
270,11269,M,130000,2,Graduate Degree,TRUE
271,11270,M,130000,2,Graduate Degree,TRUE
272,11271,S,150000,2,Bachelors,FALSE
273,11272,S,70000,4,Partial College,TRUE
274,11273,M,90000,2,Partial College,TRUE
275,11274,M,50000,2,Graduate Degree,TRUE
276,11275,M,80000,4,Graduate Degree,TRUE
277,11276,M,80000,4,Partial College,TRUE
278,11277,M,80000,4,Partial College,TRUE
279,11278,S,90000,0,Partial College,FALSE
280,11279,M,90000,0,Partial College,TRUE
281,11280,M,90000,0,Partial College,TRUE
282,11281,S,110000,4,Bachelors,TRUE
283,11282,M,90000,5,Partial College,TRUE
284,11283,M,110000,1,Bachelors,TRUE
285,11284,M,110000,1,Bachelors,TRUE
286,11285,M,120000,1,Partial College,FALSE
287,11286,M,170000,0,Graduate Degree,TRUE
288,11287,M,70000,5,Partial College,FALSE
289,11288,M,110000,1,Bachelors,TRUE
290,11289,M,130000,1,Bachelors,TRUE
291,11290,M,130000,1,Bachelors,TRUE
292,11291,M,130000,1,Bachelors,TRUE
293,11292,S,150000,1,Partial College,FALSE
294,11293,S,60000,2,High School,FALSE
295,11294,M,60000,2,High School,FALSE
296,11295,S,80000,2,Partial High School,TRUE
297,11296,S,50000,2,Graduate Degree,TRUE
298,11297,S,70000,4,Graduate Degree,TRUE
299,11298,M,70000,4,Graduate Degree,TRUE
300,11299,M,70000,4,Graduate Degree,TRUE
301,11300,M,80000,5,Partial College,FALSE
302,11301,M,80000,5,Partial College,TRUE
303,11302,S,90000,4,High School,FALSE
304,11303,S,90000,4,High School,FALSE
305,11304,M,100000,0,Partial College,TRUE
306,11305,M,110000,3,Partial College,FALSE
307,11306,M,110000,3,Partial College,FALSE
308,11307,M,80000,2,Partial High School,TRUE
309,11308,M,60000,2,High School,FALSE
310,11309,S,60000,2,High School,TRUE
311,11310,S,70000,3,Graduate Degree,TRUE
312,11311,S,70000,3,Graduate Degree,FALSE
313,11312,S,70000,3,Graduate Degree,TRUE
314,11313,S,70000,3,Graduate Degree,TRUE
315,11314,S,70000,3,Graduate Degree,FALSE
316,11315,S,70000,3,Graduate Degree,FALSE
317,11316,M,60000,3,Graduate Degree,TRUE
318,11317,S,40000,3,Partial College,FALSE
319,11318,S,40000,3,Partial College,FALSE
320,11319,M,70000,4,Graduate Degree,FALSE
321,11320,M,80000,4,Graduate Degree,TRUE
322,11321,M,90000,5,Bachelors,TRUE
323,11322,M,90000,5,Bachelors,TRUE
324,11323,S,120000,2,Graduate Degree,TRUE
325,11324,M,90000,5,Bachelors,TRUE
326,11325,S,90000,5,Bachelors,TRUE
327,11326,M,130000,2,Bachelors,TRUE
328,11327,M,90000,5,Bachelors,TRUE
329,11328,M,90000,5,Bachelors,TRUE
330,11329,S,90000,5,Bachelors,TRUE
331,11330,M,110000,2,Graduate Degree,TRUE
332,11331,M,90000,4,Partial College,TRUE
333,11332,S,10000,1,Graduate Degree,TRUE
334,11333,M,20000,1,Graduate Degree,TRUE
335,11334,M,10000,1,Bachelors,TRUE
336,11335,M,10000,1,Bachelors,TRUE
337,11336,M,20000,1,Graduate Degree,TRUE
338,11337,M,10000,1,Bachelors,TRUE
339,11338,M,20000,1,Graduate Degree,TRUE
340,11339,S,20000,1,Graduate Degree,TRUE
341,11340,M,10000,1,Graduate Degree,TRUE
342,11341,M,20000,1,Graduate Degree,TRUE
343,11342,M,30000,5,Graduate Degree,TRUE
344,11343,M,10000,1,Bachelors,TRUE
345,11344,M,10000,1,Partial College,TRUE
346,11345,S,10000,1,Partial College,TRUE
347,11346,S,10000,2,Partial College,TRUE
348,11347,M,10000,2,Partial College,TRUE
349,11348,M,10000,2,Partial College,TRUE
350,11349,M,10000,2,Partial College,TRUE
351,11350,M,30000,1,Graduate Degree,TRUE
352,11351,S,20000,1,Bachelors,TRUE
353,11352,M,10000,2,Partial College,TRUE
354,11353,S,30000,1,Bachelors,TRUE
355,11354,M,20000,1,Partial College,TRUE
356,11355,M,40000,1,Graduate Degree,TRUE
357,11356,S,10000,0,Partial College,FALSE
358,11357,S,10000,0,Partial College,FALSE
359,11358,S,10000,0,Partial College,FALSE
360,11359,S,10000,0,Partial College,FALSE
361,11360,S,10000,0,Partial College,TRUE
362,11361,M,10000,0,High School,TRUE
363,11362,M,10000,0,High School,FALSE
364,11363,S,10000,0,High School,FALSE
365,11364,S,10000,1,High School,FALSE
366,11365,S,10000,1,High School,FALSE
367,11366,M,20000,0,Bachelors,TRUE
368,11367,M,20000,0,Bachelors,TRUE
369,11368,S,10000,1,High School,FALSE
370,11369,M,20000,0,Bachelors,FALSE
371,11370,M,20000,0,Bachelors,TRUE
372,11371,M,20000,0,Bachelors,TRUE
373,11372,S,20000,0,Bachelors,TRUE
374,11373,M,30000,1,Bachelors,TRUE
375,11374,S,30000,1,Bachelors,TRUE
376,11375,M,30000,1,Bachelors,TRUE
377,11376,S,40000,1,Graduate Degree,TRUE
378,11377,M,30000,4,Graduate Degree,TRUE
379,11378,S,10000,1,High School,FALSE
380,11379,M,10000,1,High School,TRUE
381,11380,S,20000,2,Partial College,TRUE
382,11381,M,20000,2,Partial College,TRUE
383,11382,M,20000,2,Partial College,TRUE
384,11383,M,30000,3,Graduate Degree,TRUE
385,11384,M,30000,3,Bachelors,TRUE
386,11385,S,30000,3,Bachelors,TRUE
387,11386,M,30000,3,Bachelors,TRUE
388,11387,S,40000,3,Graduate Degree,TRUE
389,11388,M,40000,3,Graduate Degree,TRUE
390,11389,S,10000,1,High School,FALSE
391,11390,S,10000,1,High School,FALSE
392,11391,S,10000,2,High School,TRUE
393,11392,S,10000,2,High School,TRUE
394,11393,S,10000,2,High School,TRUE
395,11394,S,10000,2,High School,TRUE
396,11395,S,30000,0,Bachelors,TRUE
397,11396,M,10000,2,High School,FALSE
398,11397,S,20000,0,Partial College,FALSE
399,11398,S,30000,0,Bachelors,TRUE
400,11399,S,30000,1,Bachelors,TRUE
401,11400,S,40000,0,Graduate Degree,TRUE
402,11401,M,40000,0,Graduate Degree,TRUE
403,11402,M,40000,0,Graduate Degree,TRUE
404,11403,S,40000,0,Graduate Degree,TRUE
405,11404,S,10000,3,Partial College,FALSE
406,11405,S,10000,3,Partial College,FALSE
407,11406,M,20000,2,Partial College,TRUE
408,11407,M,20000,2,Partial College,TRUE
409,11408,M,10000,2,High School,FALSE
410,11409,S,10000,2,High School,TRUE
411,11410,M,20000,1,Partial College,TRUE
412,11411,M,80000,3,Partial College,FALSE
413,11412,S,80000,4,Partial College,TRUE
414,11413,M,80000,4,Partial College,FALSE
415,11414,S,80000,4,Partial College,TRUE
416,11415,S,90000,5,Partial College,FALSE
417,11416,M,60000,3,Partial High School,TRUE
418,11417,M,70000,5,High School,TRUE
419,11418,S,90000,5,Partial College,FALSE
420,11419,M,150000,3,Graduate Degree,TRUE
421,11420,M,100000,2,Bachelors,TRUE
422,11421,M,110000,3,Bachelors,TRUE
423,11422,M,170000,4,Bachelors,TRUE
424,11423,M,80000,4,Partial College,FALSE
425,11424,M,80000,4,Partial College,TRUE
426,11425,M,90000,4,High School,TRUE
427,11426,M,110000,3,Bachelors,TRUE
428,11427,M,110000,2,Partial College,TRUE
429,11428,S,120000,2,Bachelors,TRUE
430,11429,M,80000,4,Partial College,TRUE
431,11430,M,90000,4,High School,TRUE
432,11431,M,110000,4,Partial College,TRUE
433,11432,M,80000,4,High School,TRUE
434,11433,M,80000,5,High School,FALSE
435,11434,M,170000,5,Partial College,TRUE
436,11435,S,100000,3,Partial College,TRUE
437,11436,M,160000,3,Partial College,FALSE
438,11437,M,90000,4,High School,TRUE
439,11438,M,130000,4,High School,TRUE
440,11439,M,90000,4,High School,FALSE
441,11440,M,80000,5,Partial High School,FALSE
442,11441,M,90000,5,Partial High School,FALSE
443,11442,M,90000,5,Partial High School,TRUE
444,11443,S,60000,0,Bachelors,FALSE
445,11444,M,70000,0,Bachelors,TRUE
446,11445,S,70000,0,Bachelors,FALSE
447,11446,S,70000,0,Bachelors,FALSE
448,11447,M,70000,0,Bachelors,TRUE
449,11448,S,80000,0,Bachelors,TRUE
450,11449,M,80000,0,Bachelors,TRUE
451,11450,S,130000,4,High School,TRUE
452,11451,S,70000,0,Bachelors,FALSE
453,11452,S,80000,0,Bachelors,FALSE
454,11453,S,80000,0,Bachelors,FALSE
455,11454,S,80000,0,Bachelors,FALSE
456,11455,M,100000,0,High School,TRUE
457,11456,M,120000,5,Partial High School,TRUE
458,11457,M,90000,0,Bachelors,TRUE
459,11458,M,100000,0,High School,TRUE
460,11459,S,80000,0,Bachelors,FALSE
461,11460,S,90000,0,Bachelors,FALSE
462,11461,S,90000,0,Bachelors,FALSE
463,11462,M,110000,0,High School,TRUE
464,11463,M,110000,0,High School,FALSE
465,11464,M,90000,0,Bachelors,TRUE
466,11465,M,90000,0,Bachelors,FALSE
467,11466,M,150000,0,Partial High School,TRUE
468,11467,M,170000,1,Graduate Degree,TRUE
469,11468,M,40000,1,Bachelors,TRUE
470,11469,S,10000,0,Partial High School,FALSE
471,11470,S,20000,0,Partial High School,FALSE
472,11471,S,30000,0,Partial College,TRUE
473,11472,S,60000,3,Bachelors,TRUE
474,11473,S,20000,0,Partial High School,FALSE
475,11474,S,20000,0,Partial High School,TRUE
476,11475,S,30000,0,High School,FALSE
477,11476,M,40000,1,Bachelors,TRUE
478,11477,S,30000,0,High School,FALSE
479,11478,S,30000,0,High School,FALSE
480,11479,M,40000,1,Bachelors,TRUE
481,11480,M,40000,1,Bachelors,TRUE
482,11481,M,40000,1,Bachelors,TRUE
483,11482,S,30000,0,High School,FALSE
484,11483,M,40000,1,Bachelors,TRUE
485,11484,S,40000,2,Partial College,TRUE
486,11485,M,40000,2,Partial College,FALSE
487,11486,S,10000,0,Partial High School,TRUE
488,11487,S,10000,0,Partial High School,FALSE
489,11488,S,20000,0,Partial High School,TRUE
490,11489,S,20000,0,Partial High School,FALSE
491,11490,S,20000,0,Partial High School,FALSE
492,11491,M,20000,0,Partial High School,FALSE
493,11492,S,30000,0,High School,FALSE
494,11493,S,40000,2,Partial College,TRUE
495,11494,S,40000,2,Partial College,TRUE
496,11495,S,40000,2,Partial College,TRUE
497,11496,S,40000,2,Partial College,TRUE
498,11497,S,40000,2,Partial College,TRUE
499,11498,S,40000,3,Partial College,TRUE
500,11499,S,40000,3,Partial College,TRUE
501,11500,S,40000,0,Graduate Degree,TRUE
502,11501,S,40000,3,Partial College,TRUE
503,11502,S,40000,4,Partial College,TRUE
504,11503,M,50000,1,Graduate Degree,TRUE
505,11504,M,40000,1,Bachelors,TRUE
506,11505,S,60000,0,Graduate Degree,TRUE
507,11506,S,60000,0,Graduate Degree,FALSE
508,11507,S,60000,0,Graduate Degree,TRUE
509,11508,S,60000,0,Graduate Degree,TRUE
510,11509,M,30000,1,Bachelors,TRUE
511,11510,M,30000,1,Bachelors,TRUE
512,11511,M,30000,1,Bachelors,TRUE
513,11512,S,20000,3,Partial High School,TRUE
514,11513,S,20000,3,Partial High School,FALSE
515,11514,M,30000,1,High School,TRUE
516,11515,M,30000,1,High School,TRUE
517,11516,M,30000,1,High School,TRUE
518,11517,M,40000,1,Partial College,TRUE
519,11518,M,40000,1,Partial College,TRUE
520,11519,M,40000,1,Partial College,TRUE
521,11520,M,40000,1,Partial College,TRUE
522,11521,M,40000,1,Partial College,TRUE
523,11522,M,80000,5,Graduate Degree,TRUE
524,11523,M,40000,1,Partial College,TRUE
525,11524,M,40000,1,Partial College,TRUE
526,11525,M,40000,1,Partial College,TRUE
527,11526,M,40000,1,Partial College,TRUE
528,11527,M,40000,1,Partial College,TRUE
529,11528,M,40000,1,Partial College,TRUE
530,11529,M,40000,1,Partial College,TRUE
531,11530,M,40000,1,Partial College,TRUE
532,11531,M,40000,1,Partial College,TRUE
533,11532,M,40000,1,Partial College,TRUE
534,11533,M,40000,1,Partial College,TRUE
535,11534,S,60000,4,Graduate Degree,TRUE
536,11535,M,60000,4,Graduate Degree,TRUE
537,11536,M,60000,4,Graduate Degree,TRUE
538,11537,M,60000,4,Graduate Degree,TRUE
539,11538,S,60000,4,Graduate Degree,FALSE
540,11539,M,60000,4,Graduate Degree,TRUE
541,11540,S,60000,4,Graduate Degree,TRUE
542,11541,S,60000,4,Graduate Degree,FALSE
543,11542,S,20000,1,Partial College,FALSE
544,11543,M,20000,1,Partial College,TRUE
545,11544,M,30000,1,Bachelors,TRUE
546,11545,M,30000,1,Bachelors,TRUE
547,11546,M,30000,1,Bachelors,TRUE
548,11547,M,40000,0,Graduate Degree,TRUE
549,11548,S,40000,0,Graduate Degree,TRUE
550,11549,M,40000,0,Bachelors,TRUE
551,11550,S,40000,0,Bachelors,TRUE
552,11551,S,10000,3,High School,TRUE
553,11552,S,20000,1,Partial College,FALSE
554,11553,M,20000,1,Partial College,TRUE
555,11554,S,10000,4,High School,TRUE
556,11555,M,40000,1,Bachelors,TRUE
557,11556,M,20000,1,Partial College,TRUE
558,11557,S,30000,1,Bachelors,FALSE
559,11558,S,30000,1,Bachelors,FALSE
560,11559,S,30000,1,Bachelors,FALSE
561,11560,S,30000,1,Bachelors,FALSE
562,11561,S,10000,5,Partial High School,TRUE
563,11562,M,20000,1,High School,TRUE
564,11563,S,20000,1,High School,FALSE
565,11564,S,20000,1,High School,FALSE
566,11565,S,20000,2,High School,TRUE
567,11566,M,40000,0,Bachelors,TRUE
568,11567,M,40000,0,Bachelors,TRUE
569,11568,S,20000,2,High School,TRUE
570,11569,M,30000,1,Bachelors,TRUE
571,11570,M,30000,1,Bachelors,TRUE
572,11571,M,30000,1,Bachelors,TRUE
573,11572,M,30000,1,Bachelors,TRUE
574,11573,S,20000,2,High School,TRUE
575,11574,S,20000,2,High School,TRUE
576,11575,S,20000,2,High School,TRUE
577,11576,M,30000,1,Bachelors,TRUE
578,11577,M,30000,1,Bachelors,TRUE
579,11578,S,10000,3,Partial High School,TRUE
580,11579,S,20000,3,High School,TRUE
581,11580,M,30000,1,Bachelors,TRUE
582,11581,M,40000,0,Bachelors,TRUE
583,11582,S,30000,2,Partial College,TRUE
584,11583,S,30000,2,Partial College,TRUE
585,11584,M,40000,1,Bachelors,TRUE
586,11585,M,40000,1,Bachelors,TRUE
587,11586,M,40000,1,Bachelors,TRUE
588,11587,S,30000,2,Partial College,TRUE
589,11588,M,30000,2,Partial College,FALSE
590,11589,M,40000,1,Bachelors,TRUE
591,11590,S,30000,2,Partial College,TRUE
592,11591,S,30000,3,Partial College,TRUE
593,11592,S,20000,0,High School,FALSE
594,11593,S,20000,0,High School,TRUE
595,11594,S,20000,4,High School,TRUE
596,11595,S,20000,5,High School,TRUE
597,11596,M,40000,1,Bachelors,TRUE
598,11597,S,30000,3,Partial College,TRUE
599,11598,S,30000,3,Partial College,TRUE
600,11599,S,20000,0,High School,FALSE
601,11600,S,30000,0,Partial College,FALSE
602,11601,S,30000,0,Partial College,TRUE
603,11602,S,30000,0,Partial College,FALSE
604,11603,S,30000,0,Partial College,FALSE
605,11604,S,30000,0,Partial College,TRUE
606,11605,S,20000,0,High School,FALSE
607,11606,S,10000,0,Partial High School,FALSE
608,11607,S,20000,0,High School,TRUE
609,11608,S,20000,0,High School,FALSE
610,11609,S,30000,0,Partial College,FALSE
611,11610,S,30000,0,Partial College,FALSE
612,11611,M,20000,0,Partial High School,FALSE
613,11612,S,20000,0,Partial High School,FALSE
614,11613,S,30000,0,Partial College,FALSE
615,11614,S,30000,0,Partial College,FALSE
616,11615,M,40000,1,Bachelors,TRUE
617,11616,M,40000,1,Bachelors,TRUE
618,11617,S,60000,4,Graduate Degree,FALSE
619,11618,M,60000,4,Graduate Degree,TRUE
620,11619,S,50000,0,Graduate Degree,TRUE
621,11620,S,50000,0,Graduate Degree,TRUE
